Chapman/Humphries/Lincoln/Rice,"42.370613, -72.521117","42.366808155615495, -72.52346661682091","42.3669429137138, -72.52035525465749","42.37058919972547, -72.51999047427417",,,,,
Charles Drew/Cohan/Lipton/Garman/Porter,"42.37470535395188, -72.51886578653848","42.37327619028919, -72.51872923076247","42.373236957886874, -72.5158388001702","42.37467733144754, -72.5158236273062",,,,,
First-year Quad,"42.37163327269656, -72.5184914141975","42.36994384690901, -72.5184914141975","42.36994384690901, -72.51576657528312","42.37161345682618, -72.51576657528312","42.37161345682618, -72.5162920030627","42.37200184674601, -72.5162920030627","42.37200184674601, -72.51755264115216","42.37163327269656, -72.51755264115216",
Greenway Dormitories,"42.36920503486058, -72.51644939650929","42.368442559659904, -72.51580766155254","42.36884234576378, -72.5137416007248","42.36957649180094, -72.51411545935078",,,,,
Gym/Athletic Fields,"42.369236292522686, -72.51912748820168","42.36755555670524, -72.51967011770707","42.36703403750621, -72.51404249335734","42.36769825992784, -72.51116419316881","42.36814787709074, -72.51143246449217","42.36802748961313, -72.51209309425367","42.36906700362594, -72.51254920383562","42.368442559659904, -72.51580766155254","42.36920503486058, -72.51644939650929"
Keefe/Beneski/Mead,"42.37137723108578, -72.51576657528312","42.37035547483325, -72.51576657528312","42.37038724339817, -72.51403677625129","42.371693172454705, -72.51403677625129","42.371693172454705, -72.51374272914927","42.37219997322127, -72.51374272914927","42.37219997322127, -72.51456933372636","42.371796431855245, -72.51458071337434",
King/Wieland,"42.36981038835814, -72.51425857995375","42.36884234576378, -72.5137416007248","42.36906700362594, -72.51254920383562","42.36999410997392, -72.51305999600241",,,,,
Marsh/Plimpton/Tyler,"42.37792171957397, -72.51646242973618","42.37658285259448, -72.51557571440367","42.376863585132774, -72.51454283720315","42.378296021365685, -72.5156439232754",,,,,
Mayo-Smith/Seelye/Hitchcock,"42.37443634032418, -72.52132620985999","42.37278130222141, -72.52108841541234","42.373266722944706, -72.52003085589519","42.3745195533789, -72.52003085589519",,,,,
Merrill/McGuire/Seeley Mudd,"42.36994384690901, -72.51576657528312","42.36994384690901, -72.51802415934172","42.369516478321664, -72.51803950537665","42.369536886477896, -72.51464189324142","42.3703668125472, -72.51464803165541","42.37035547483325, -72.51576657528312",,,
Newport/Seligman,"42.37267450972157, -72.52067298280352","42.37254456896967, -72.52327609782421","42.371236483759446, -72.52291846265243","42.37201180907629, -72.52067298280352",,,,,
Noah Webster Circle (Arms/Converse/Grosvenor/Morris Pratt/Morrow),"42.37308733405297, -72.51875533699726","42.37200184674601, -72.51871022780642","42.37200184674601, -72.51605780738522","42.37267743017382, -72.51605780738522","42.37268409529892, -72.51649536653635","42.37305734117692, -72.51649085561726",,,
Powerhouse/Police Station,"42.37261218956246, -72.51335982340356","42.37235718828079, -72.51335982340356","42.37202050531516, -72.51324386926515","42.37202050531516, -72.51289061363416","42.37258429884771, -72.51289061363416",,,,
Science Center,"42.371693172454705, -72.51403677625129","42.37038724339817, -72.51403677625129","42.370310010953105, -72.51271176509826","42.37170902513203, -72.51314091850816",,,,,
Taplin/Jenkins,"42.37298559581884, -72.5140778013839","42.37219997322127, -72.51402432635146","42.37219997322127, -72.51348676155169","42.37298559581884, -72.51351425237773",,,,,
Valentine Quad (Chapin/Fayerweather/Moore/Valentine),"42.37306846676017, -72.51649475220654","42.37268409529892, -72.51649536653635","42.37267743017382, -72.51605780738522","42.37161345682618, -72.51606874448672","42.3716134568261, -72.51540059187424","42.37189595949844, -72.51468213112408","42.37304378262233, -72.51465707184644",,
